iter	Passed	Remaining
0	17	1751
1	25	1269
2	32	1037
3	38	916
4	44	840
5	49	777
6	53	710
7	57	658
8	61	618
9	64	583
10	68	554
11	72	530
12	76	509
13	80	492
14	84	476
15	89	468
16	93	456
17	97	442
18	100	430
19	104	419
20	108	410
21	112	400
22	116	390
23	120	381
24	124	373
25	129	367
26	132	359
27	136	351
28	140	344
29	145	338
30	149	333
31	153	326
32	158	321
33	162	314
34	163	303
35	166	296
36	171	292
37	175	286
38	179	280
39	183	274
40	186	268
41	190	263
42	194	258
43	198	252
44	202	247
45	206	242
46	210	236
47	213	231
48	217	226
49	221	221
50	225	216
51	229	211
52	232	206
53	237	202
54	241	197
55	245	192
56	249	188
57	253	183
58	258	179
59	262	175
60	266	170
61	270	165
62	274	161
63	278	156
64	281	151
65	285	147
66	289	142
67	293	138
68	297	133
69	301	129
70	305	124
71	309	120
72	313	115
73	316	111
74	320	106
75	324	102
76	328	98
77	332	93
78	336	89
79	340	85
80	343	80
81	347	76
82	351	71
83	355	67
84	359	63
85	362	59
86	366	54
87	370	50
88	374	46
89	377	41
90	381	37
91	385	33
92	389	29
93	393	25
94	397	20
95	400	16
96	404	12
97	408	8
98	412	4
99	416	0
